player_name,player_name_clean,draft_year,position,position_group,school,draft_team,draft_round,draft_pick,hof,category,side,age,to,allpro,probowls,seasons_started,w_av,dr_av,games,pass_completions,pass_attempts,pass_yards,pass_tds,pass_ints,rush_atts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,def_solo_tackles,def_ints,def_sacks,AV_year1,AV_year2,AV_year3,AV_year4,AV_4yr_sum,AV_4yr_avg,AV_4yr_avg_percentile,car_av_filled
Damion McIntosh,damion mcintosh,2000,OT,OL,kansas st.,sdg,3,83,False,OL,O,23.0,2009.0,0,0,8,38.0,15.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,4,6,17,4.25,0.626488095,45
Danny Clark,danny clark,2000,LB,LB,illinois,jax,7,245,False,LB,D,23.0,2010.0,0,0,8,39.0,14.0,168.0,0,0,0,0,0,0,0,0,0,0,0,514,2,7.0,2,2,8,4,16,4.0,0.711812627,48
Danny Farmer,danny farmer,2000,WR,WR,ucla,pit,4,103,False,WR,O,23.0,2002.0,0,0,0,5.0,,33.0,0,0,0,0,0,0,0,0,43,611,1,0,0,0.0,2,2,1,0,5,1.25,0.505199307,5
Dante Hall,dante hall,2000,WR,WR,texas aandm,kan,5,153,False,WR,O,21.0,2008.0,1,2,0,29.0,28.0,112.0,0,1,0,0,0,54,242,0,162,1747,9,4,0,0.0,0,0,7,10,17,4.25,0.768630849,32
Darnell Alford,darnell alford,2000,OG,OL,boston col.,kan,6,188,False,OL,O,23.0,2002.0,0,0,0,0.0,0.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.085416667,0
Darrell Jackson,darrell jackson,2000,WR,WR,florida,sea,3,80,False,WR,O,21.0,2008.0,0,0,7,55.0,51.0,123.0,0,0,0,0,0,6,18,0,499,7132,51,0,0,0.0,7,9,7,12,35,8.75,0.957538995,65
Darren Howard,darren howard,2000,DE,DL,kansas st.,nor,2,33,False,DL,D,23.0,2009.0,0,0,6,42.0,31.0,145.0,0,0,0,0,0,0,0,0,0,0,0,274,3,67.0,9,5,7,5,26,6.5,0.900744417,51
Darrick Vaughn,darrick vaughn,2000,DB,DB,texas st.,atl,7,211,False,DB,D,21.0,2003.0,0,0,0,12.0,11.0,48.0,0,0,0,0,0,0,0,0,0,0,0,63,1,0.0,7,2,0,1,10,2.5,0.631830601,10
Darwin Walker,darwin walker,2000,DT,DL,tennessee,ari,3,71,False,DL,D,23.0,2008.0,0,0,5,38.0,0.0,109.0,0,0,0,0,0,0,0,0,0,0,0,167,1,28.5,0,1,9,8,18,4.5,0.798630137,43
Dave Stachelski,dave stachelski,2000,TE,TE,boise st.,nwe,5,141,False,TE,O,23.0,2001.0,0,0,0,0.0,,9.0,0,0,0,0,0,0,0,0,1,5,0,0,0,0.0,0,0,0,0,0,0.0,0.141263941,0
David Barrett,david barrett,2000,DB,DB,arkansas,ari,4,102,False,DB,D,22.0,2008.0,0,0,6,31.0,13.0,131.0,0,0,0,0,0,0,0,0,0,0,0,391,18,0.5,1,4,5,5,15,3.75,0.74795082,36
David Gibson,david gibson,2000,DB,DB,usc,tam,6,193,False,DB,D,22.0,2003.0,0,0,1,8.0,3.0,47.0,0,0,0,0,0,0,0,0,0,0,0,77,1,1.0,1,1,5,1,8,2.0,0.569672131,8
David Macklin,david macklin,2000,DB,DB,penn st.,ind,3,91,False,DB,D,22.0,2008.0,0,0,4,29.0,14.0,120.0,0,0,0,0,0,0,0,0,0,0,0,320,14,1.0,2,5,6,3,16,4.0,0.769125683,33
