player_name,player_name_clean,draft_year,college_season,position,position_group,school,countable_plays,avg_ppa_all,total_ppa_all,total_ppa_pass,total_ppa_rush,career_avg_ppa,career_total_ppa,ppa_per_play,pass_ppa_share,rush_ppa_share
Trevor Siemian,trevor siemian,2015,2013,QB,QB,northwestern,309.0,0.269,83.205,77.601,5.604,0.367,127.793,0.2692718446601941,0.9326482783486568,0.067351721651343
Ty Montgomery,ty montgomery,2015,2013,WR,WR,stanford,60.0,1.092,65.492,59.881,5.611,1.371,95.029,1.0915333333333337,0.9143254137909972,0.0856745862090026
Tyler Kroft,tyler kroft,2015,2013,TE,TE,rutgers,40.0,1.341,53.654,53.654,0.0,2.0,76.046,1.34135,1.0,0.0
Tyler Lockett,tyler lockett,2015,2013,WR,WR,kansas state,73.0,1.058,77.202,76.725,0.477,1.86,196.654,1.0575616438356163,0.9938214035905804,0.0061785964094194
Aaron Burbridge,aaron burbridge,2016,2013,WR,WR,michigan state,27.0,0.586,15.818,16.963,-1.145,1.531,129.784,0.5858518518518518,1.0,0.0
Alex Collins,alex collins,2016,2013,RB,RB,arkansas,195.0,0.083,16.125,-0.125,16.25,0.391,96.9,0.0826923076923076,0.0,1.0
Austin Hooper,austin hooper,2016,2014,TE,TE,stanford,51.0,0.559,28.514,28.177,0.337,1.425,69.198,0.5590980392156862,0.9881812443010451,0.0118187556989549
Brandon Allen,brandon allen,2016,2013,QB,QB,arkansas,261.0,0.122,31.854,20.585,11.27,0.955,371.822,0.1220459770114942,0.6462296728825265,0.3538017203490927
Brandon Doughty,brandon doughty,2016,2013,QB,QB,western kentucky,355.0,0.293,103.992,108.986,-4.994,1.255,645.028,0.2929352112676056,1.0,0.0
Braxton Miller,braxton miller,2016,2013,QB,QB,ohio state,366.0,0.174,63.505,32.942,30.564,0.435,84.358,0.1735109289617486,0.5187308085977482,0.481284938193843
Cardale Jones,cardale jones,2016,2013,QB,QB,ohio state,18.0,0.413,7.436,-1.044,8.48,0.964,113.747,0.4131111111111111,0.0,1.0
Chris Moore,chris moore,2016,2013,WR,WR,cincinnati,45.0,0.826,37.156,36.784,0.372,2.459,136.23,0.8256888888888889,0.9899881580363872,0.0100118419636128
Christian Hackenberg,christian hackenberg,2016,2013,QB,QB,penn state,392.0,0.209,82.046,85.305,-3.259,0.4579999999999999,198.199,0.2093010204081632,1.0,0.0
Cody Kessler,cody kessler,2016,2013,QB,QB,usc,350.0,0.282,98.785,91.481,7.304,1.083,503.244,0.2822428571428571,0.9260616490357848,0.0739383509642152
Connor Cook,connor cook,2016,2013,QB,QB,michigan state,395.0,0.225,88.872,82.721,6.151,1.056,449.027,0.2249924050632911,0.9307880997389504,0.0692119002610495
Corey Coleman,corey coleman,2016,2013,WR,WR,baylor,32.0,0.959,30.673,30.673,0.0,2.422,202.16000000000005,0.95853125,1.0,0.0
Dak Prescott,dak prescott,2016,2013,QB,QB,mississippi state,363.0,0.302,109.461,68.435,41.026,1.001,541.48,0.3015454545454545,0.6251998428664091,0.374800157133591
Daniel Braverman,daniel braverman,2016,2014,WR,WR,western michigan,99.0,0.67,66.316,59.863,6.453,1.34,157.41,0.6698585858585859,0.9026931660534412,0.0973068339465589
Daniel Lasco,daniel lasco,2016,2013,RB,RB,california,77.0,0.109,8.395,3.777,4.618,0.5,78.919,0.109025974025974,0.4499106611078023,0.5500893388921978
Darius Jackson,darius jackson,2016,2013,RB,RB,eastern michigan,53.0,-0.094,-4.964,1.095,-6.059,0.218,39.646,-0.0936603773584905,0.0,1.0
Derrick Henry,derrick henry,2016,2013,RB,RB,alabama,33.0,0.3,9.906,0.0,9.906,0.758,144.238,0.3001818181818182,0.0,1.0
Ezekiel Elliott,ezekiel elliott,2016,2013,RB,RB,ohio state,30.0,0.393,11.78,-0.447,12.227,1.127,239.096,0.3926666666666666,0.0,1.0
Hunter Henry,hunter henry,2016,2013,TE,TE,arkansas,27.0,1.01,27.257,27.257,0.0,2.495,124.52,1.0095185185185185,1.0,0.0
Jakeem Grant,jakeem grant,2016,2013,WR,WR,texas tech,65.0,0.848,55.138,51.935,3.204,2.152,209.319,0.848276923076923,0.9419093909826256,0.0581087453298995
Jared Goff,jared goff,2016,2013,QB,QB,california,526.0,0.175,92.131,94.208,-2.077,0.946,533.058,0.1751539923954372,1.0,0.0
Jonathan Williams,jonathan williams,2016,2013,RB,RB,arkansas,152.0,0.025,3.86,1.459,2.401,0.287,58.871,0.0253947368421052,0.377979274611399,0.622020725388601
Jordan Payton,jordan payton,2016,2013,WR,WR,ucla,39.0,0.872,34.027,34.027,0.0,2.179,170.154,0.8724871794871795,1.0,0.0
Kelvin Taylor,kelvin taylor,2016,2013,RB,RB,florida,95.0,-0.012,-1.097,3.209,-4.307,0.037,20.642,-0.0115473684210526,0.0,1.0
Kenneth Dixon,kenneth dixon,2016,2013,RB,RB,louisiana tech,145.0,0.094,13.657,0.285,13.372,0.612,140.856,0.0941862068965517,0.020868419125723,0.9791315808742768
Kenny Lawler,kenny lawler,2016,2013,WR,WR,california,35.0,0.694,24.295,24.295,0.0,2.015,128.648,0.6941428571428572,1.0,0.0
Kenyan Drake,kenyan drake,2016,2013,RB,RB,alabama,95.0,0.384,36.485,7.247,29.238,1.278,71.508,0.3840526315789473,0.198629573797451,0.801370426202549
Kevin Hogan,kevin hogan,2016,2013,QB,QB,stanford,338.0,0.229,77.386,52.279,25.108,1.0579999999999998,409.429,0.2289526627218935,0.6755614710671182,0.3244514511668777
Laquon Treadwell,laquon treadwell,2016,2013,WR,WR,ole miss,66.0,0.478,31.563,35.298,-3.735,1.718,149.656,0.4782272727272727,1.0,0.0
Leonte Carroo,leonte carroo,2016,2013,WR,WR,rutgers,19.0,1.125,21.384,21.384,0.0,3.108,158.498,1.1254736842105264,1.0,0.0
Michael Thomas,michael thomas,2016,2014,WR,WR,ohio state,70.0,0.919,64.331,64.331,0.0,1.562,117.052,0.9190142857142858,1.0,0.0
