player_name (draft/basic),draft_year (draft/basic),category (draft/basic),draft_team (draft/basic),draft_round (draft/basic),draft_pick (draft/basic),school (shared_basic),has_pre_draft,has_combine_data (combine),forty_yd_dash (combine),vertical_jump (combine),bench_press (combine),broad_jump (combine),three_cone_drill (combine),twenty_yd_shuttle (combine),has_forty_yd_dash (combine),has_vertical_jump (combine),has_bench_press (combine),has_broad_jump (combine),has_three_cone_drill (combine),has_twenty_yd_shuttle (combine),height_in (combine),weight_lb (combine),predraft_total_yards,predraft_total_tds,predraft_total_opportunities,predraft_yards_per_game_unified,predraft_tds_per_game_unified,predraft_opportunities_per_game_unified,predraft_yards_per_opportunity_unified,predraft_tds_per_opportunity_unified,avg_ppa_all (pre_draft),ppa_per_play (pre_draft),career_avg_ppa (pre_draft),career_total_ppa (pre_draft),age (post_draft),to (post_draft),games (post_draft),w_av (post_draft),dr_av (post_draft),car_av_filled (post_draft),allpro (post_draft),probowls (post_draft),hof (post_draft),seasons_started (post_draft),AV_year1 (post_draft),AV_year2 (post_draft),AV_year3 (post_draft),AV_year4 (post_draft),AV_4yr_sum (post_draft),AV_4yr_avg (post_draft),AV_4yr_avg_percentile (post_draft)
Akiem Hicks,2012,DL,nor,3,89,,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,22,2022,149,55,13,59,0,1,FALSE,7,1,9,5,3,18,4.5,0.765508685
Alameda Ta'amu,2012,DL,pit,4,109,washington,1,1,5.3,26,35,103,,,1,1,1,1,0,0,74,348,0,0,0,0,0,0,,,,,,,22,2014,21,3,,3,0,0,FALSE,0,0,2,1,0,3,0.75,0.271232877
Alfonzo Dennard,2012,DB,nwe,7,224,nebraska,1,1,4.48,37,,121,,,1,1,0,1,0,0,70,204,0,0,0,0,0,0,,,,,,,22,2014,29,9,9,9,0,0,FALSE,1,3,4,2,0,9,2.25,0.602459016
Alfred Morris,2012,RB,was,6,173,florida atlantic,1,1,4.63,35.5,16,117,7.01,4.19,1,1,1,1,1,1,70,219,1327,10,249,110.5833333,0.833333333,20.75,5.329317269,0.040160643,,,,,23,2020,114,36,28,40,0,2,FALSE,4,13,7,6,4,30,7.5,0.892473118
Alshon Jeffery,2012,WR,chi,2,45,south carolina,1,1,4.48,,,,,,1,0,0,0,0,0,75,216,762,8,49,58.61538462,0.615384615,3.769230769,15.55102041,0.163265306,,,,,22,2020,109,48,33,55,0,1,FALSE,8,3,14,9,6,32,8,0.928942808
Amini Silatolu,2012,OL,car,2,40,midwestern st.,0,1,5.33,31.5,28,107,7.95,4.87,1,1,1,1,1,1,76,311,0,0,0,,,,,,,,,,23,2018,54,18,18,19,0,0,FALSE,1,8,2,3,2,15,3.75,0.6375
Andre Branch,2012,LB,jax,2,38,clemson,1,0,4.67,32.5,19,120,7.19,4.25,1,1,1,1,1,1,76,259,0,0,0,0,0,0,,,,,,,23,2018,95,22,9,24,0,0,FALSE,3,2,2,1,5,10,2.5,0.589613035
Andrew Datko,2012,OL,gnb,7,241,florida st.,1,1,5.19,29.5,,100,7.71,4.54,1,1,0,1,1,1,78,315,0,0,0,0,0,0,,,,,,,22,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.3125
Andrew Luck,2012,QB,ind,1,1,stanford,1,1,4.59,36,,124,6.8,4.28,1,1,0,1,1,1,76,234,3680,39,452,283.0769231,3,34.76923077,8.14159292,0.086283186,,,,,22,2018,86,72,72,80,0,4,FALSE,5,13,15,16,4,48,12,0.958525346
Andrew Tiller,2012,OL,nor,6,179,syracuse,1,1,5.44,23,16,85,7.92,4.8,1,1,1,1,1,1,76,324,0,0,0,0,0,0,,,,,,,23,2016,28,6,,6,0,0,FALSE,0,0,0,0,3,3,0.75,0.29375
Antonio Allen,2012,DB,nyj,7,242,south carolina,1,1,4.58,34,17,118,7.02,4.25,1,1,1,1,1,1,73,210,0,0,0,0,0,0,,,,,,,23,2016,50,9,9,9,0,0,FALSE,2,1,4,3,0,8,2,0.569672131
Asa Jackson,2012,DB,bal,5,169,cal poly,1,1,4.48,34.5,19,118,6.97,4.03,1,1,1,1,1,1,70,191,0,0,0,0,0,0,,,,,,,22,2017,26,3,2,3,0,0,FALSE,0,0,0,2,0,2,0.5,0.243169399
Audie Cole,2012,LB,min,7,210,north carolina st.,1,1,4.76,35,15,114,6.96,4.29,1,1,1,1,1,1,76,246,0,0,0,0,0,0,,,,,,,23,2016,57,7,7,7,0,0,FALSE,0,0,2,2,1,5,1.25,0.413441955
B.J. Coleman,2012,QB,gnb,7,243,chattanooga,1,1,4.94,,,109,7.07,4.38,1,0,0,1,1,1,75,233,150,1,36,150,1,36,4.166666667,0.027777778,,,,,23,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.161290323
B.J. Cunningham,2012,WR,mia,6,183,michigan st.,1,1,4.52,31.5,12,116,7.1,,1,1,1,1,1,0,73,211,1332,12,82,95.14285714,0.857142857,5.857142857,16.24390244,0.146341463,,,,,23,2013,2,0,,0,0,0,FALSE,0,0,0,0,0,0,0,0.1152513
Ben Jones,2012,OL,hou,4,99,georgia,1,1,5.35,30.5,29,105,7.95,4.74,1,1,1,1,1,1,75,303,0,0,0,0,0,0,,,,,,,23,2022,172,58,16,62,0,1,FALSE,10,5,1,8,7,21,5.25,0.747663551
Bernard Pierce,2012,RB,bal,3,84,temple,1,1,4.45,36.5,17,123,7.07,4.28,1,1,1,1,1,1,72,218,1533,27,276,127.75,2.25,23,5.554347826,0.097826087,,,,,21,2015,52,10,10,10,0,0,FALSE,0,4,3,3,0,10,2.5,0.591397849
Bill Bentley,2012,DB,det,3,85,colorado,0,1,4.42,31.5,13,114,6.99,4.5,1,1,1,1,1,1,70,182,0,0,0,,,,,,,,,,23,2015,20,3,3,3,0,0,FALSE,0,1,2,0,0,3,0.75,0.305327869
Billy Winn,2012,DL,cle,6,205,boise st.,1,1,4.86,27,24,107,7.37,4.44,1,1,1,1,1,1,76,294,0,0,0,0,0,0,,,,,,,23,2020,74,15,12,16,0,0,FALSE,2,6,2,4,2,14,3.5,0.724657534
Blair Walsh,2012,K,min,6,175,georgia,1,1,4.96,,,,,,1,0,0,0,0,0,69,187,0,0,0,0,0,0,,,,,,,22,2017,89,14,13,15,1,1,FALSE,0,6,3,2,3,14,3.5,0.907894737
Bobby Massie,2012,OL,ari,4,112,mississippi,1,1,5.18,27.5,22,103,7.7,4.95,1,1,1,1,1,1,78,316,0,0,0,0,0,0,,,,,,,23,2021,131,45,19,46,0,0,FALSE,9,5,1,7,8,21,5.25,0.709821429
Bobby Wagner,2012,LB,sea,2,47,utah st.,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,22,2022,168,117,109,124,6,8,FALSE,11,10,9,13,14,46,11.5,0.977596741
Brad Nortman,2012,P,car,6,207,wisconsin,1,1,4.78,,,,,,1,0,0,0,0,0,74,213,0,0,0,0,0,0,,,,,,,22,2017,96,11,7,12,0,0,FALSE,0,1,3,2,2,8,2,0.642857143
Brad Smelley,2012,TE,cle,7,247,alabama,1,0,,,,,,,,,,,,,,,357,4,35,27.46153846,0.307692308,2.692307692,10.2,0.114285714,,,,,23,2013,4,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.141263941
Bradie Ewing,2012,RB,atl,5,157,wisconsin,1,1,4.73,36.5,14,120,7.14,4.16,1,1,1,1,1,1,72,239,246,0,20,20.5,0,1.666666667,12.3,0,,,,,22,2013,2,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.092741935
Brandon Boykin,2012,DB,phi,4,123,georgia,1,1,4.44,,,,,,1,0,0,0,0,0,69,182,202,3,13,14.42857143,0.214285714,0.928571429,15.53846154,0.230769231,,,,,22,2015,64,9,7,9,0,0,FALSE,0,2,4,1,2,9,2.25,0.602459016
Brandon Brooks,2012,OL,hou,3,76,miami (oh),1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,23,2021,114,50,15,57,0,3,FALSE,7,0,6,7,6,19,4.75,0.7375
Brandon Hardin,2012,DB,chi,3,79,oregon st.,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,22,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.05942623
Brandon Marshall,2012,LB,jax,5,142,nevada,1,1,4.72,30.5,28,108,7.05,4.09,1,1,1,1,1,1,73,242,0,0,0,0,0,0,,,,,,,22,2018,74,30,0,135,0,0,FALSE,4,14,12,13,22,61,15.25,0.99796334
Brandon Mosley,2012,OL,nyg,4,131,auburn,1,1,5.14,27,30,103,7.43,4.78,1,1,1,1,1,1,78,314,0,0,0,0,0,0,,,,,,,23,2014,22,2,2,2,0,0,FALSE,0,0,1,1,0,2,0.5,0.203869048
Brandon Taylor,2012,DB,sdg,3,73,lsu,1,1,4.52,33.5,,118,7.32,4.37,1,1,0,1,1,1,71,209,0,0,0,0,0,0,,,,,,,22,2012,4,1,1,1,0,0,FALSE,0,1,0,0,0,1,0.25,0.164617486
Brandon Thompson,2012,DL,cin,3,93,clemson,1,1,5.2,31,35,100,7.97,4.71,1,1,1,1,1,1,74,314,0,0,0,0,0,0,,,,,,,22,2015,39,7,7,7,0,0,FALSE,0,0,5,1,1,7,1.75,0.491780822
Brandon Washington,2012,OL,phi,6,200,miami (fl),1,1,5.14,25,28,101,8.22,4.87,1,1,1,1,1,1,75,320,0,0,0,0,0,0,,,,,,,24,2013,1,0,,0,0,0,FALSE,0,0,0,0,0,0,0,0.085416667
Brandon Weeden,2012,QB,cle,1,22,oklahoma st.,1,1,4.89,,,,,,1,0,0,0,0,0,75,221,4625,38,581,355.7692308,2.923076923,44.69230769,7.960413081,0.065404475,,,,,28,2018,35,13,10,14,0,0,FALSE,1,7,3,1,3,14,3.5,0.725806452
Brian Quick,2012,WR,stl,2,33,appalachian st.,1,1,4.5,34,15,119,7.1,4.23,1,1,1,1,1,1,75,220,110,1,3,110,1,3,36.66666667,0.333333333,,,,,23,2018,84,11,10,12,0,0,FALSE,0,1,3,3,1,8,2,0.603119584
Brock Osweiler,2012,QB,den,2,57,arizona st.,1,1,4.83,,,,,,1,0,0,0,0,0,79,242,4126,29,599,317.3846154,2.230769231,46.07692308,6.888146912,0.048414023,,,,,21,2018,49,14,7,15,0,0,FALSE,1,0,0,0,5,5,1.25,0.587557604
Bruce Irvin,2012,DL,sea,1,15,west virginia,1,0,4.41,33.5,23,123,6.7,4.03,1,1,1,1,1,1,75,245,0,0,0,0,0,0,,,,,,,24,2022,138,42,22,46,0,0,FALSE,6,3,7,7,6,23,5.75,0.848635236
Bryan Anger,2012,P,jax,3,70,california,1,1,4.86,,,,,,1,0,0,0,0,0,76,208,5,0,1,0.384615385,0,0.076923077,5,0,,,,,23,2022,176,21,11,21,0,1,FALSE,1,3,3,3,3,12,3,0.942857143
Bryce Brown,2012,RB,phi,7,229,kansas st.,1,0,,,,,,,,,,,,,,,19,0,4,19,0,4,4.75,0,,,,,21,2015,42,9,6,9,0,0,FALSE,0,3,3,2,1,9,2.25,0.563172043
Caleb McSurdy,2012,LB,dal,7,222,montana,1,1,4.82,30,26,110,7.26,4.28,1,1,1,1,1,1,73,245,0,0,0,0,0,0,,,,,,,22,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.061099796
Cam Johnson,2012,DL,sfo,7,237,virginia,1,1,4.75,35,,105,7.2,4.38,1,1,0,1,1,1,75,268,0,0,0,0,0,0,,,,,,,22,2016,28,5,0,5,0,0,FALSE,1,0,1,0,0,1,0.25,0.183622829
Casey Hayward,2012,DB,gnb,2,62,vanderbilt,1,1,4.47,34,19,119,6.76,3.9,1,1,1,1,1,1,71,192,60,0,5,4.615384615,0,0.384615385,12,0,,,,,22,2022,152,49,7,51,0,2,FALSE,7,4,0,2,4,10,2.5,0.631830601
Chandler Harnish,2012,QB,ind,7,253,northern illinois,1,1,4.68,32.5,,112,6.78,4.15,1,1,0,1,1,1,74,219,4595,39,578,328.2142857,2.785714286,41.28571429,7.94982699,0.067474048,,,,,24,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.161290323
Chandler Jones,2012,DL,nwe,1,21,syracuse,1,1,4.77,35,22,120,7.07,4.38,1,1,1,1,1,1,77,266,0,0,0,0,0,0,,,,,,,22,2022,154,77,25,79,2,4,FALSE,10,6,9,5,12,32,8,0.956575682
Charles Mitchell,2012,DB,atl,6,192,mississippi st.,1,1,4.56,37,19,127,6.93,4.22,1,1,1,1,1,1,71,202,0,0,0,0,0,0,,,,,,,22,2012,10,1,1,1,0,0,FALSE,0,1,0,0,0,1,0.25,0.164617486
Chris Givens,2012,WR,stl,4,96,wake forest,1,1,4.35,33.5,19,118,6.97,4.23,1,1,1,1,1,1,71,198,696,5,62,69.6,0.5,6.2,11.22580645,0.080645161,,,,,22,2015,60,12,11,13,0,0,FALSE,2,5,5,1,2,13,3.25,0.701906412
Chris Greenwood,2012,DB,det,5,148,albion,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,23,2013,3,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.05942623
Chris Rainey,2012,RB,pit,5,159,florida,1,1,4.36,36.5,16,120,6.5,3.93,1,1,1,1,1,1,68,180,1242,4,202,103.5,0.333333333,16.83333333,6.148514851,0.01980198,,,,,24,2013,18,1,1,1,0,0,FALSE,0,1,0,0,0,1,0.25,0.216397849
Christian Thompson,2012,DB,bal,4,130,south carolina st.,1,1,4.42,31.5,18,122,7.33,4.13,1,1,1,1,1,1,72,211,0,0,0,0,0,0,,,,,,,22,2012,7,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.05942623
Christo Bilukidi,2012,DL,oak,6,189,,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,22,2014,24,1,1,1,0,0,FALSE,0,1,0,0,0,1,0.25,0.183622829
Coby Fleener,2012,TE,ind,2,34,stanford,1,1,4.51,,27,,,,1,0,1,0,0,0,78,247,667,10,34,51.30769231,0.769230769,2.615384615,19.61764706,0.294117647,,,,,23,2017,87,25,18,28,0,0,FALSE,4,2,6,7,4,19,4.75,0.903345725
Cordy Glenn,2012,OL,buf,2,41,georgia,1,1,5.08,23.5,31,93,8.13,5,1,1,1,1,1,1,78,345,0,0,0,0,0,0,,,,,,,22,2019,97,38,31,44,0,0,FALSE,6,6,7,7,7,27,6.75,0.877083333
Corey White,2012,DB,nor,5,162,samford,1,1,4.53,37.5,15,126,6.72,4.22,1,1,1,1,1,1,71,206,0,0,0,0,0,0,,,,,,,22,2016,66,12,10,13,0,0,FALSE,1,2,4,4,1,11,2.75,0.659836066
Coty Sensabaugh,2012,DB,ten,4,115,clemson,1,1,4.33,37,15,122,6.6,4.06,1,1,1,1,1,1,71,189,0,0,0,0,0,0,,,,,,,23,2019,107,19,12,22,0,0,FALSE,2,2,2,3,6,13,3.25,0.705601093
Courtney Upshaw,2012,LB,bal,2,35,alabama,1,0,4.74,,22,,,,1,0,1,0,0,0,74,272,0,0,0,0,0,0,,,,,,,22,2017,90,27,24,30,0,0,FALSE,3,6,7,6,7,26,6.5,0.877800407
Cyrus Gray,2012,RB,kan,6,182,texas aandm,1,1,4.4,32.5,21,114,7.17,,1,1,1,1,1,0,70,206,1284,15,230,116.7272727,1.363636364,20.90909091,5.582608696,0.065217391,,,,,22,2014,35,1,1,1,0,0,FALSE,0,0,1,0,0,1,0.25,0.216397849
D.J. Campbell,2012,DB,car,7,216,california,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,23,2013,9,2,2,2,0,0,FALSE,0,2,0,0,0,2,0.5,0.243169399
Dan Herron,2012,RB,cin,6,191,ohio st.,1,1,4.57,35,22,117,6.97,4.04,1,1,1,1,1,1,70,213,706,3,141,100.8571429,0.428571429,20.14285714,5.007092199,0.021276596,,,,,23,2015,35,5,0,5,0,0,FALSE,0,0,1,4,0,5,1.25,0.427419355
Danny Coale,2012,WR,dal,5,152,virginia tech,1,1,4.42,35,12,115,6.69,4.15,1,1,1,1,1,1,72,201,930,3,64,66.42857143,0.214285714,4.571428571,14.53125,0.046875,,,,,24,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.1152513
Danny Trevathan,2012,LB,den,6,188,kentucky,1,1,4.84,31.5,18,111,,,1,1,1,1,0,0,72,237,0,0,0,0,0,0,,,,,,,22,2021,117,47,19,56,0,0,FALSE,7,2,9,1,9,21,5.25,0.800407332
Darius Fleming,2012,LB,sfo,5,165,notre dame,1,1,4.71,33.5,27,114,7.03,4.28,1,1,1,1,1,1,74,245,0,0,0,0,0,0,,,,,,,23,2015,11,1,,1,0,0,FALSE,0,0,0,1,0,1,0.25,0.15885947
Daryl Richardson,2012,RB,stl,7,252,abilene christian,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,22,2016,27,7,7,7,0,0,FALSE,0,4,3,0,0,7,1.75,0.5
David DeCastro,2012,OL,pit,1,24,stanford,0,1,5.32,29.5,34,98,7.3,4.56,1,1,1,1,1,1,77,316,0,0,0,,,,,,,,,,22,2020,125,69,69,82,2,6,FALSE,8,1,7,8,15,31,7.75,0.941666667
David Molk,2012,OL,sdg,7,226,michigan,1,1,5.18,,41,,,,1,0,1,0,0,0,73,298,0,0,0,0,0,0,,,,,,,23,2015,20,3,1,3,0,0,FALSE,0,1,0,2,0,3,0.75,0.182242991
David Paulson,2012,TE,pit,7,240,oregon,1,1,4.79,32,21,110,7.18,4.4,1,1,1,1,1,1,75,246,438,6,31,36.5,0.5,2.583333333,14.12903226,0.193548387,,,,,23,2013,32,1,1,1,0,0,FALSE,0,0,1,0,0,1,0.25,0.323420074
David Wilson,2012,RB,nyg,1,32,virginia tech,1,1,4.38,41,,132,7.09,4.12,1,1,0,1,1,1,70,206,1838,10,312,131.2857143,0.714285714,22.28571429,5.891025641,0.032051282,,,,,21,2013,21,5,5,5,0,0,FALSE,0,4,1,0,0,5,1.25,0.427419355
DeAngelo Tyson,2012,DL,bal,7,236,georgia,1,1,5,,,,,,1,0,0,0,0,0,74,315,0,0,0,0,0,0,,,,,,,23,2014,34,6,6,6,0,0,FALSE,0,1,2,3,0,6,1.5,0.445205479
DeQuan Menzie,2012,DB,kan,5,146,alabama,1,1,4.65,33,,116,,,1,1,0,1,0,0,71,202,0,0,0,0,0,0,,,,,,,22,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.05942623
DeVier Posey,2012,WR,hou,3,68,ohio st.,1,1,4.39,36.5,14,123,7.03,4.15,1,1,1,1,1,1,74,211,156,2,13,52,0.666666667,4.333333333,12,0.153846154,,,,,22,2014,26,2,2,2,0,0,FALSE,0,1,1,0,0,2,0.5,0.363084922
Demario Davis,2012,LB,nyj,3,77,arkansas st.,1,1,4.49,38.5,32,124,7.19,4.28,1,1,1,1,1,1,74,235,0,0,0,0,0,0,,,,,,,23,2022,177,88,26,81,1,1,FALSE,10,3,7,8,9,27,6.75,0.891038697
Dennis Kelly,2012,OL,phi,5,153,purdue,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,22,2022,130,29,6,29,0,0,FALSE,1,4,0,1,2,7,1.75,0.392857143
Derek Wolfe,2012,DL,den,2,36,cincinnati,1,1,4.93,33.5,33,108,7.26,4.44,1,1,1,1,1,1,77,295,0,0,0,0,0,0,,,,,,,22,2020,122,48,45,60,0,0,FALSE,9,8,5,7,7,27,6.75,0.901369863
Devon Still,2012,DL,cin,2,53,penn st.,1,1,5.01,29.5,26,,,,1,1,1,0,0,0,77,303,0,0,0,0,0,0,,,,,,,23,2016,33,3,3,3,0,0,FALSE,0,1,1,1,0,3,0.75,0.271232877
Devon Wylie,2012,WR,kan,4,107,fresno st.,1,1,4.36,39,17,123,,,1,1,1,1,0,0,69,187,764,1,64,58.76923077,0.076923077,4.923076923,11.9375,0.015625,,,,,24,2013,8,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.1152513
Donald Stephenson,2012,OL,kan,3,74,oklahoma,1,1,4.94,35.5,19,114,7.52,4.78,1,1,1,1,1,1,77,312,0,0,0,0,0,0,,,,,,,23,2017,80,18,12,20,0,0,FALSE,1,3,4,1,5,13,3.25,0.56547619
Dont'a Hightower,2012,LB,nwe,1,25,alabama,1,1,4.62,32,,,,,1,1,0,0,0,0,74,265,0,0,0,0,0,0,,,,,,,22,2021,117,65,65,68,0,2,FALSE,8,7,7,6,7,27,6.75,0.891038697
Dontari Poe,2012,DL,kan,1,11,memphis,1,1,4.89,29.5,44,105,7.9,4.56,1,1,1,1,1,1,75,346,0,0,0,0,0,0,,,,,,,22,2020,128,55,41,62,0,2,FALSE,8,6,13,12,7,38,9.5,0.971232877
Doug Martin,2012,RB,tam,1,31,boise st.,1,1,4.46,36,28,120,6.79,4.16,1,1,1,1,1,1,69,223,1554,18,291,129.5,1.5,24.25,5.340206186,0.06185567,,,,,23,2018,84,39,35,43,1,2,FALSE,7,14,3,3,11,31,7.75,0.905913978
Drake Dunsmore,2012,TE,tam,7,233,northwestern,1,0,4.63,35.5,21,117,6.73,4.03,1,1,1,1,1,1,74,241,522,6,45,40.15384615,0.461538462,3.461538462,11.6,0.133333333,,,,,23,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.141263941
Dre Kirkpatrick,2012,DB,cin,1,17,alabama,1,1,4.5,35,,120,,,1,1,0,1,0,0,74,186,0,0,0,0,0,0,,,,,,,22,2021,119,31,25,36,0,0,FALSE,5,0,4,2,6,12,3,0.68510929
Dwayne Allen,2012,TE,ind,3,64,clemson,1,1,4.85,32,27,110,7.12,4.37,1,1,1,1,1,1,75,255,592,8,49,42.28571429,0.571428571,3.5,12.08163265,0.163265306,,,,,22,2018,86,12,11,13,0,0,FALSE,4,4,0,3,1,8,2,0.70260223
Edwin Baker,2012,RB,sdg,7,250,michigan st.,1,1,4.44,35,20,111,7.27,4.31,1,1,1,1,1,1,68,204,725,6,175,51.78571429,0.428571429,12.5,4.142857143,0.034285714,,,,,21,2014,6,1,,1,0,0,FALSE,0,0,1,0,0,1,0.25,0.216397849
Emmanuel Acho,2012,LB,cle,6,204,texas,1,1,4.64,35.5,24,118,,,1,1,1,1,0,0,74,238,0,0,0,0,0,0,,,,,,,21,2014,20,2,,2,0,0,FALSE,0,0,0,2,0,2,0.5,0.240325866
Evan Rodriguez,2012,TE,chi,4,111,temple,1,0,4.53,36,18,119,6.94,4.28,1,1,1,1,1,1,73,239,479,2,35,39.91666667,0.166666667,2.916666667,13.68571429,0.057142857,,,,,23,2014,20,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.141263941
Fletcher Cox,2012,DL,phi,1,12,mississippi st.,1,1,4.77,26,30,103,7.07,4.53,1,1,1,1,1,1,76,298,0,0,0,0,0,0,,,,,,,21,2022,173,92,92,100,1,6,FALSE,11,4,8,13,13,38,9.5,0.971232877
Frank Alexander,2012,DL,car,4,103,oklahoma,1,1,4.8,,,,,,1,0,0,0,0,0,76,270,0,0,0,0,0,0,,,,,,,22,2014,29,6,6,6,0,0,FALSE,0,3,3,0,0,6,1.5,0.470223325
George Iloka,2012,DB,cin,5,167,boise st.,1,1,4.6,34.5,20,124,7.03,4.03,1,1,1,1,1,1,76,225,0,0,0,0,0,0,,,,,,,22,2020,103,29,27,32,0,0,FALSE,4,0,7,6,5,18,4.5,0.816256831
Gino Gradkowski,2012,OL,bal,4,98,delaware,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,23,2018,60,11,9,12,0,0,FALSE,1,1,7,1,1,10,2.5,0.560416667
Greg Childs,2012,WR,min,4,134,arkansas,1,1,4.52,36.5,19,125,,,1,1,1,1,0,0,75,219,240,0,21,26.66666667,0,2.333333333,11.42857143,0,,,,,22,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.1152513
Greg McCoy,2012,DB,chi,7,220,tcu,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,23,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.05942623
Greg Scruggs,2012,DL,sea,7,232,louisville,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,22,2016,18,1,1,1,0,0,FALSE,0,1,0,0,0,1,0.25,0.183622829
Greg Zuerlein,2012,K,stl,6,171,,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,24,2022,168,26,21,27,1,1,FALSE,1,3,4,2,0,9,2.25,0.605263158
Harrison Smith,2012,DB,min,1,29,notre dame,1,1,4.54,34,19,122,6.63,4.12,1,1,1,1,1,1,74,213,0,0,0,0,0,0,,,,,,,23,2022,159,65,65,75,1,6,FALSE,10,6,3,8,7,24,6,0.927595628
Isaiah Frey,2012,DB,chi,6,184,nevada,1,0,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,22,2014,27,3,3,3,0,0,FALSE,0,0,2,1,0,3,0.75,0.305327869
Isaiah Pead,2012,RB,stl,2,50,cincinnati,1,1,4.39,33,,116,6.95,4.32,1,1,0,1,1,1,70,197,1578,15,276,121.3846154,1.153846154,21.23076923,5.717391304,0.054347826,,,,,22,2016,30,1,1,1,0,0,FALSE,0,0,1,0,0,1,0.25,0.216397849
J.R. Sweezy,2012,DL,sea,7,225,north carolina st.,1,1,4.97,36,21,113,7.4,4.41,1,1,1,1,1,1,77,298,0,0,0,0,0,0,,,,,,,23,2020,117,47,32,55,0,0,FALSE,7,2,8,9,8,27,6.75,0.901369863
Jack Crawford,2012,DL,oak,5,158,penn st.,1,1,4.74,33,,116,7.15,4.25,1,1,0,1,1,1,77,274,0,0,0,0,0,0,,,,,,,24,2020,109,18,1,22,0,0,FALSE,3,0,1,1,2,4,1,0.370967742
Jackrabbit Jenkins,2012,DB,stl,2,39,north alabama,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,23,2022,144,51,22,0,0,1,FALSE,10,0,0,0,0,0,0,0.05942623
Jake Bequette,2012,DL,nwe,3,90,arkansas,1,1,4.75,34,,113,6.9,4.07,1,1,0,1,1,1,77,274,0,0,0,0,0,0,,,,,,,23,2013,8,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.066997519
Jamell Fleming,2012,DB,ari,3,80,oklahoma,1,1,4.43,34,23,125,6.71,3.97,1,1,1,1,1,1,71,206,0,0,0,0,0,0,,,,,,,23,2015,46,5,2,5,0,0,FALSE,0,2,0,2,1,5,1.25,0.433743169
James Hanna,2012,TE,dal,6,186,oklahoma,1,1,4.43,36,24,122,6.76,4.11,1,1,1,1,1,1,76,252,381,2,27,29.30769231,0.153846154,2.076923077,14.11111111,0.074074074,,,,,23,2017,78,3,3,3,0,0,FALSE,4,1,1,0,0,2,0.5,0.431226766
James-Michael Johnson,2012,LB,cle,4,120,nevada,1,1,4.6,37,23,124,7.34,4.37,1,1,1,1,1,1,73,241,0,0,0,0,0,0,,,,,,,23,2015,48,11,4,11,0,0,FALSE,2,4,2,5,0,11,2.75,0.604887984
Jared Crick,2012,DL,hou,4,126,nebraska,1,1,4.91,31,,104,7.47,4.4,1,1,0,1,1,1,76,279,0,0,0,0,0,0,,,,,,,23,2016,79,28,21,30,0,0,FALSE,3,2,2,8,10,22,5.5,0.837468983
Jarius Wright,2012,WR,min,4,118,arkansas,1,1,4.39,38,11,120,6.93,4.03,1,1,1,1,1,1,70,182,1117,12,66,93.08333333,1,5.5,16.92424242,0.181818182,,,,,22,2019,111,24,19,27,0,0,FALSE,1,4,4,5,5,18,4.5,0.782495667
Jason Slowey,2012,OL,sfo,6,199,western oregon,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,23,,,,,0,0,0,FALSE,0,0,0,0,0,0,0,0.3125
Jaye Howard,2012,DL,sea,4,114,florida,1,1,4.78,27.5,24,106,7.32,4.47,1,1,1,1,1,1,75,301,0,0,0,0,0,0,,,,,,,23,2016,45,17,0,18,0,0,FALSE,2,0,1,6,8,15,3.75,0.743835616
