player_name (draft/basic),draft_year (draft/basic),category (draft/basic),draft_team (draft/basic),draft_round (draft/basic),draft_pick (draft/basic),school (shared_basic),has_pre_draft,has_combine_data (combine),forty_yd_dash (combine),vertical_jump (combine),bench_press (combine),broad_jump (combine),three_cone_drill (combine),twenty_yd_shuttle (combine),has_forty_yd_dash (combine),has_vertical_jump (combine),has_bench_press (combine),has_broad_jump (combine),has_three_cone_drill (combine),has_twenty_yd_shuttle (combine),height_in (combine),weight_lb (combine),predraft_total_yards,predraft_total_tds,predraft_total_opportunities,predraft_yards_per_game_unified,predraft_tds_per_game_unified,predraft_opportunities_per_game_unified,predraft_yards_per_opportunity_unified,predraft_tds_per_opportunity_unified,avg_ppa_all (pre_draft),ppa_per_play (pre_draft),career_avg_ppa (pre_draft),career_total_ppa (pre_draft),age (post_draft),to (post_draft),games (post_draft),w_av (post_draft),dr_av (post_draft),car_av_filled (post_draft),allpro (post_draft),probowls (post_draft),hof (post_draft),seasons_started (post_draft),AV_year1 (post_draft),AV_year2 (post_draft),AV_year3 (post_draft),AV_year4 (post_draft),AV_4yr_sum (post_draft),AV_4yr_avg (post_draft),AV_4yr_avg_percentile (post_draft)
Ethan Kilmer,2006,WR,cin,7,209,penn st.,1,0,,,,,,,,,,,,,,,236,3,15,21.45454545,0.272727273,1.363636364,15.73333333,0.2,,,,,23,2006,16,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0.1152513
Fred Evans,2006,DL,mia,7,212,texas st.,0,0,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,22,2013,95,9,0,10,0,0,FALSE,0,0,1,2,1,4,1,0.332876712
Freddy Keiaho,2006,LB,ind,3,94,san diego st.,1,1,4.68,36,15,113,7.01,4.12,1,1,1,1,1,1,71,224,0,0,0,0,0,0,,,,,,,23,2009,55,15,15,16,0,0,FALSE,2,1,5,8,2,16,4,0.711812627
Frostee Rucker,2006,DL,cin,3,91,usc,1,1,4.88,29.5,,110,,,1,1,0,1,0,0,75,267,0,0,0,0,0,0,,,,,,,22,2018,157,39,10,48,0,0,FALSE,5,0,1,3,2,6,1.5,0.470223325
Gabe Watson,2006,DL,ari,4,107,michigan,0,1,5.27,25,36,96,8.28,4.8,1,1,1,1,1,1,75,339,0,0,0,,,,,,,,,,22,2010,62,11,11,12,0,0,FALSE,1,2,6,1,2,11,2.75,0.630136986
Garrett Mills,2006,RB,nwe,4,106,tulsa,1,1,4.64,35.5,23,111,6.81,4.05,1,1,1,1,1,1,73,241,1235,9,87,95,0.692307692,6.692307692,14.1954023,0.103448276,,,,,22,2010,16,1,,1,0,0,FALSE,0,0,0,1,0,1,0.25,0.542553191
Gerris Wilkinson,2006,LB,nyg,3,96,georgia tech,1,1,4.66,39,19,122,7.21,4.17,1,1,1,1,1,1,75,233,0,0,0,0,0,0,,,,,,,23,2010,58,6,6,7,0,0,FALSE,0,2,1,2,1,6,1.5,0.458248473
Greg Blue,2006,DB,min,5,149,georgia,1,1,4.57,37.5,16,120,,,1,1,1,1,0,0,74,216,0,0,0,0,0,0,,,,,,,24,2007,20,2,2,2,0,0,FALSE,0,2,0,0,0,2,0.5,0.243169399
Greg Jennings,2006,WR,gnb,2,52,western michigan,1,1,4.42,36.5,,117,6.68,4.16,1,1,0,1,1,1,71,197,1331,15,111,121,1.363636364,10.09090909,11.99099099,0.135135135,,,,,22,2015,143,66,55,78,0,2,FALSE,8,5,9,12,11,37,9.25,0.972270364
Guy Whimper,2006,DL,nyg,4,129,east carolina,1,0,4.96,29,26,102,7.38,4.59,1,1,1,1,1,1,77,304,3,0,0,1,0,0,,,,,,,23,2013,78,13,2,14,0,0,FALSE,1,1,1,0,1,3,0.75,0.32630273
